date,headline,source
2020-01-17,'The NHTSA is looking into claims that Tesla vehicles have a flaw that could lead to unintended acceleration' -Bloomberg,kaggle_historical
2020-01-17,Tesla Option Alert: Jun 19 $700 Calls Sweep (2) near the Ask: 500 @ $16.7 vs 7123 OI; Earnings 1/29 After Close [est] Ref=$509.14,kaggle_historical
2020-01-17,Electrek Article Highlights Sales Data Showing Tesla's Model 3 Is Disrupting US Luxury Sedan Market Based On Sales,kaggle_historical
2020-01-17,'#Tesla announced Friday on Weibo that it will replace its #mapping provider with #BaiduMaps...' -China's National Business Daily,kaggle_historical
2020-01-17,"Benzinga Pro's Top 5 Stocks To Watch For Fri., Jan. 17, 2020: TSLA, NFLX, IBM, TWTR, PLAY",kaggle_historical
2020-01-17,Watch Tesla Shares As Hearing US Auto Safety Agency Is Reviewing A Petition Seeking A Formal Probe Into 500K Tesla Vehicles For Sudden Unintended Acceleration,kaggle_historical
2020-01-17,NHTSA Considers Investigation Into Reports Of Teslas With Unintended Acceleration,kaggle_historical
2020-01-18,"Barron's Picks And Pans: Apple, Boeing, Disney, Tesla And More",kaggle_historical
2020-01-18,"Bulls And Bears Of The Week: IBM, Microsoft, Tesla And More",kaggle_historical
2020-01-21,Tesla Reaches Settlement With Michigan Over Ban Blocking Sales; Settlement Filing Is Expected As Soon As Wed.,kaggle_historical
2020-01-21,Just Getting Started? New Street Gives Tesla An $800 Price Target,kaggle_historical
2020-01-21,83 Consumer Cyclical Stocks Moving In Tuesday's Session,kaggle_historical
2020-01-21,5 Auto Manufacturers Stocks Moving In Tuesday's Session,kaggle_historical
2020-01-21,Ex-Ford CEO Mark Fields Talks About Tesla Building An 'Iconic Brand',kaggle_historical
2020-01-21,"Elon Musk Talks Tesla In China, Explains SpaceX And PayPal Launches In New Podcast",kaggle_historical
2020-01-21,"Tesla Says No Unintended Acceleration in Its Vehicles, in Response to Petition to NHTSA to Investigate and Recall Around 500,000 of the Company's Electric Cars Over the Alleged Defect",kaggle_historical
2020-01-21,"Today's Pickup: A Pragmatic Approach To Zero-Emissions Logistics; At XPO, Breaking Up Will Be Interesting To Do",kaggle_historical
2020-01-21,"Tuesday's Market Minute: Earnings, Ecodata & Central Bank Policies",kaggle_historical
2020-01-21,Tesla shares are trading higher after New Street Research reiterated a Buy rating on the stock and Raised the price target from $530 to $800.,kaggle_historical
2020-01-21,"New Street Maintains Buy on Tesla, Raises Price Target to $800",kaggle_historical
2020-01-21,Tesla Plans for German Factory Faces Challenges,kaggle_historical
2020-01-21,Tesla Says Petition Claiming 'Unintended Acceleration' In Cars Brought By 'Tesla Short-Seller',kaggle_historical
2020-01-21,'Unofficial: First Tesla Model Y Deliveries Expected Within Two Weeks' -InsideEVs,kaggle_historical
2020-01-22,'Tesla Model Y prototypes spotted cold-weather testing in Minnesota snow' - Electrek,kaggle_historical
2020-01-22,58 Consumer Cyclical Stocks Moving In Wednesday's Session,kaggle_historical
2020-01-22,46 Stocks Moving In Wednesday's Mid-Day Session,kaggle_historical
2020-01-22,Elon Musk's Big Day: Trump Compares CEO To Thomas Edison As Tesla's Stock Sets Milestone,kaggle_historical
2020-01-22,"PreMarket Prep Recap: Netflix Beat Not Good Enough, ACP Theory On Tesla",kaggle_historical
2020-01-22,Stocks That Hit 52-Week Highs On Wednesday,kaggle_historical
2020-01-22,Wednesday's Market Minute: Stocks Aren't The Problem,kaggle_historical
2020-01-22,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jan. 22, 2020: NFLX, TSLA, NNVC, SKT, SPCE",kaggle_historical
2020-01-22,"Tesla Hits $100B Market Cap, Gerber Says Stock Is 'Correctly Valued Now'",kaggle_historical
2020-01-22,"Tesla shares are trading Higher after Wedbush analysts raised their price target on the stock from $370 To $550, citing strong expected deliveries amid China demand.",kaggle_historical
2020-01-22,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $550",kaggle_historical
2020-01-22,4 Consumer Cyclical Stocks Moving In Wednesday's Pre-Market Session,kaggle_historical
2020-01-22,Tesla Becomes First $100B Public Car Company in Extended Trading Tuesday,kaggle_historical
2020-01-22,Tesla And Michigan Reach Settlement For Direct Delivery To Customers,kaggle_historical
2020-01-22,"Nio Will Build 200 Brick-And-Mortar Stores This Year, Report Says",kaggle_historical
2020-01-23,"'AT&T, Amazon, IKEA, others join new Corporate Electric Vehicle Alliance' -Electrek",kaggle_historical
2020-01-23,Want To Ask Elon Musk A Question On An Earnings Call? Here's How,kaggle_historical
2020-01-23,Ralph Nader Says Tesla Is The Reason The 'Stock Market Bubble Implodes',kaggle_historical
2020-01-23,"Cramer: Tesla Is A Tech Company On Wheels, Unlike Ford And GM",kaggle_historical
2020-01-23,'Tesla is about to launch a new branded wireless phone charger' -Electrek,kaggle_historical
2020-01-23,UPDATE: UBS On Tesla Notes 'view Tesla as the original equipment manufacturer with the biggest long-term AV opportunity.',kaggle_historical
2020-01-23,'Tesla Remains a Sell at UBS After Target More Than Doubled' -Bloomberg,kaggle_historical
2020-01-23,UBS Maintains Sell Rating On Tesla After Shares 'Left The Orbit',kaggle_historical
2020-01-23,"Texas Instruments And Procter & Gamble Results Front And Center, But So Is Asian Virus",kaggle_historical
2020-01-23,Tesla Opens Store On Alibaba's Tmall To Sell Car Accessories,kaggle_historical
2020-01-23,"UBS Reinstates Sell on Tesla, Raises Price Target to $410",kaggle_historical
2020-01-23,"Exane BNP Paribas Downgrades Tesla to Neutral, Announces $555 Price Target",kaggle_historical
2020-01-23,'China must increase imports of US-made cars; Tesla likely key beneficiary' -Electrek,kaggle_historical
2020-01-23,"UPDATE: UBS Reinstates Sell on Tesla, Raises Price Target to $410 As Firm Expects 'Tesla to reach 10% OP margin and generate $3-5B annual free cash flow from 2022 onwards, based on known products and capacities.'",kaggle_historical
2020-01-24,CFRA Analyst To Tesla Investors: Sell Your Stock,kaggle_historical
2020-01-24,'Tesla releases first software update of 2020' -Electrek,kaggle_historical
2020-01-24,Statement From Senator Markey Says Tesla Should Rebrand Autopilot,kaggle_historical
2020-01-24,Today's Pickup: Fuel-Saving TruckWings Hits Efficiency Milestones,kaggle_historical
2020-01-24,"Intel, American Express Report Strong Quarters, Helping Set Positive Early Tone",kaggle_historical
2020-01-24,'Volkswagen CEO says he can catch up to Tesla and 'probably overtake' them' -Electrek,kaggle_historical
